,Sentence,Target,Opinion,Polarity,Target-Polarity
0,this camera is perfect for an enthusiastic amateur photographer , photographer,['enthusiastic'],['positive'],camera[+2]
1,the pictures are razor-sharp  even in macro , macro,['missing'],['-missing-'],picture[+3] macro[+3]
2,it is small enough to fit easily in a coat pocket or purse ,,['missing'],['-missing-'],size[+2][u]
3,it is light enough to carry around all day without bother , day,['missing'],['-missing-'],weight[+1][u]
4,operating its many features is easy and often obvious - i 'm no annie lebovitz  but i was able to figure out most of its abilities just messing around with it at a camera store , features  obvious,"['many', 'obvious']","['positive', '-missing-']",feature[+2][u]
5,the manual does a fine job filling in any blanks that remain , job,['fine'],['positive'],manual[+2]
6,the auto-focus performs well  but i love having the 12 optional scene modes - they are dummy-proof  and correspond to many situations in which i would actually seek to use the camera , proof  modes  situations  correspond,"['dummy', 'many', 'optional', 'correspond']","['positive', 'positive', '-missing-', '-missing-']",auto focus[+2]scene mode[+2]
7,comes with a 16 mb compact flash and one rechargable battery the charging unit  included  is fast and small , unit  flash  battery  battery,"['rechargable', 'compact']","['-missing-', 'positive']",rechargable battery[+2]
8,i bought a 256 mb cf and a second battery  so it 's good to go on a long vacation , vacation  battery  battery,"['second', 'long']","['negative', 'positive']",
9,i enthusiastically recommend this camera ,,['missing'],['-missing-'],camera[+2]
10,i got my camera three days back  and although i had some experience with digital cameras prior to purchasing this one  i still rate myself as a beginner , cameras,['digital'],['-missing-'],
11,i bought this camera because it fit my budget and the pre-production and production model reviews were positive ,,['missing'],['-missing-'],
12,it 's easy to use  and yet very feature rich , feature  feature,"['rich', 'feature']","['positive', 'positive']",camera[+2][p] use[+1][u] feature[+2]
13,in the auto mode it functions basically as a point and click  the scene modes are very easy to use and produce good results , point  results  produce  click,"['good', 'produce']","['positive', '-missing-']",auto mode[+1]scene mode[+2]
14,the manual mode is feature rich and i can 't wait to get the hang of it , mode  feature  wait,"['manual', 'rich', 'wait']","['-missing-', 'positive', '-missing-']",manual mode[+2]
15,the macro mode is exceptional  the pictures are very clear and you can take the pictures with the lens unbelievably close the subject , subject  mode,['macro'],['-missing-'],macro mode[+3]picture[+3]
16,the battery life is very good  i got about 90 minutes with the lcd turned on all the time  the first time around  and i have been using it with the lcd off every now and then  and have yet needed to recharge it , time  then,"['first', 'using', 'needed']","['positive', 'positive', 'negative']",battery life[+3]
17,the camera comes with a lexar 16mb starter card  which stores about 10 images in fine mode at the highest resolution  i intend to buy a bigger card soon , mode  card  resolution,"['bigger', '16mb', 'fine', 'highest']","['-missing-', '-missing-', 'positive', '-missing-']",
18,i love photography ,,['missing'],['-missing-'],
